state,rank,town,water_body,waterfront_type,tier
Maine,1,Bar Harbor,Atlantic Ocean,ocean,1
Maine,2,Kennebunkport,Atlantic Ocean,ocean,1
Maine,3,Camden,Penobscot Bay,bay,1
Maine,4,Portland,Casco Bay,bay,1
Maine,5,Boothbay Harbor,Atlantic Ocean,ocean,1
Maine,6,Ogunquit,Atlantic Ocean,ocean,1
Maine,7,York,Atlantic Ocean,ocean,1
Maine,8,Old Orchard Beach,Atlantic Ocean,ocean,1
Maine,9,Rockland,Penobscot Bay,bay,2
Maine,10,Belfast,Penobscot Bay,bay,2
Maine,11,Castine,Penobscot Bay,bay,2
Maine,12,Stonington,Atlantic Ocean,ocean,2
Maine,13,Southwest Harbor,Atlantic Ocean,ocean,2
Maine,14,Northeast Harbor,Atlantic Ocean,ocean,2
Maine,15,Damariscotta,Damariscotta River,river,2
Maine,16,Wiscasset,Sheepscot River,river,2
Maine,17,Bath,Kennebec River,river,2
Maine,18,Freeport,Casco Bay,bay,2
Maine,19,Wells,Atlantic Ocean,ocean,2
Maine,20,Lubec,Atlantic Ocean,ocean,2
Maine,21,Eastport,Passamaquoddy Bay,bay,2
Maine,22,Rangeley,Rangeley Lake,lake,2
Maine,23,Greenville,Moosehead Lake,lake,2
Maine,24,Naples,Long Lake,lake,2
Maine,25,Millinocket,Penobscot River,river,3
New Hampshire,1,Portsmouth,Piscataqua River,river,1
New Hampshire,2,Wolfeboro,Lake Winnipesaukee,lake,1
New Hampshire,3,Meredith,Lake Winnipesaukee,lake,1
New Hampshire,4,Laconia,Lake Winnipesaukee,lake,1
New Hampshire,5,Hampton,Atlantic Ocean,ocean,1
New Hampshire,6,Holderness,Squam Lake,lake,2
New Hampshire,7,Sunapee,Lake Sunapee,lake,2
New Hampshire,8,Rye,Atlantic Ocean,ocean,2
New Hampshire,9,New Castle,Atlantic Ocean,ocean,2
New Hampshire,10,Alton Bay,Lake Winnipesaukee,lake,2
New Hampshire,11,Gilford,Lake Winnipesaukee,lake,2
New Hampshire,12,Center Harbor,Lake Winnipesaukee,lake,2
New Hampshire,13,Moultonborough,Lake Winnipesaukee,lake,2
New Hampshire,14,Bristol,Newfound Lake,lake,2
New Hampshire,15,Newbury,Lake Sunapee,lake,2
New Hampshire,16,Ashland,Little Squam Lake,lake,3
New Hampshire,17,Tuftonboro,Lake Winnipesaukee,lake,3
New Hampshire,18,Hebron,Newfound Lake,lake,3
New Hampshire,19,New London,Pleasant Lake,lake,3
New Hampshire,20,Wakefield,Province Lake,lake,3
New Hampshire,21,Ossipee,Ossipee Lake,lake,3
New Hampshire,22,Lincoln,Pemigewasset River,river,3
New Hampshire,23,Littleton,Ammonoosuc River,river,3
New Hampshire,24,Exeter,Squamscott River,river,3
New Hampshire,25,Dover,Cochecho River,river,3
Vermont,1,Burlington,Lake Champlain,lake,1
Vermont,2,Newport,Lake Memphremagog,lake,2
Vermont,3,Stowe,Little River,river,2
Vermont,4,Woodstock,Ottauquechee River,river,2
Vermont,5,Middlebury,Otter Creek,river,2
Vermont,6,Vergennes,Otter Creek,river,2
Vermont,7,Shelburne,Lake Champlain,lake,2
Vermont,8,North Hero,Lake Champlain,lake,2
Vermont,9,Grand Isle,Lake Champlain,lake,2
Vermont,10,St. Albans,Lake Champlain,lake,2
Vermont,11,Colchester,Lake Champlain,lake,2
Vermont,12,Brattleboro,Connecticut River,river,2
Vermont,13,Wilmington,Harriman Reservoir,reservoir,2
Vermont,14,Fairlee,Lake Morey,lake,2
Vermont,15,Castleton,Lake Bomoseen,lake,2
Vermont,16,Island Pond,Island Pond,lake,2
Vermont,17,Greensboro,Caspian Lake,lake,3
Vermont,18,Barton,Crystal Lake,lake,3
Vermont,19,Poultney,Lake St. Catherine,lake,3
Vermont,20,Waterbury,Waterbury Reservoir,reservoir,3
Vermont,21,Groton,Lake Groton,lake,3
Vermont,22,Bellows Falls,Connecticut River,river,3
Vermont,23,Windsor,Connecticut River,river,3
Vermont,24,White River Junction,White River,river,3
Vermont,25,Bristol,New Haven River,river,3
Massachusetts,1,Provincetown,Cape Cod Bay,bay,1
Massachusetts,2,Nantucket,Atlantic Ocean,ocean,1
Massachusetts,3,Edgartown,Atlantic Ocean,ocean,1
Massachusetts,4,Oak Bluffs,Nantucket Sound,sound,1
Massachusetts,5,Chatham,Atlantic Ocean,ocean,1
Massachusetts,6,Wellfleet,Cape Cod Bay,bay,1
Massachusetts,7,Rockport,Atlantic Ocean,ocean,1
Massachusetts,8,Gloucester,Atlantic Ocean,ocean,1
Massachusetts,9,Newburyport,Merrimack River,river,1
Massachusetts,10,Marblehead,Atlantic Ocean,ocean,1
Massachusetts,11,Salem,Atlantic Ocean,ocean,1
Massachusetts,12,Plymouth,Cape Cod Bay,bay,1
Massachusetts,13,Falmouth,Vineyard Sound,sound,1
Massachusetts,14,Hyannis,Nantucket Sound,sound,1
Massachusetts,15,Sandwich,Cape Cod Bay,bay,2
Massachusetts,16,Orleans,Cape Cod Bay,bay,2
Massachusetts,17,Truro,Cape Cod Bay,bay,2
Massachusetts,18,Vineyard Haven,Vineyard Sound,sound,2
Massachusetts,19,Scituate,Atlantic Ocean,ocean,2
Massachusetts,20,Cohasset,Atlantic Ocean,ocean,2
Massachusetts,21,Duxbury,Cape Cod Bay,bay,2
Massachusetts,22,Onset,Buzzards Bay,bay,2
Massachusetts,23,Mattapoisett,Buzzards Bay,bay,2
Massachusetts,24,Essex,Essex River,river,2
Massachusetts,25,Ipswich,Ipswich River,river,2
Rhode Island,1,Newport,Narragansett Bay,bay,1
Rhode Island,2,Narragansett,Atlantic Ocean,ocean,1
Rhode Island,3,New Shoreham,Atlantic Ocean,ocean,1
Rhode Island,4,Westerly,Atlantic Ocean,ocean,1
Rhode Island,5,Bristol,Narragansett Bay,bay,1
Rhode Island,6,Jamestown,Narragansett Bay,bay,2
Rhode Island,7,North Kingstown,Narragansett Bay,bay,2
Rhode Island,8,Warren,Warren River,river,2
Rhode Island,9,East Greenwich,Greenwich Bay,bay,2
Rhode Island,10,Providence,Providence River,river,2
Rhode Island,11,Tiverton,Sakonnet River,river,2
Rhode Island,12,Little Compton,Atlantic Ocean,ocean,2
Rhode Island,13,Charlestown,Atlantic Ocean,ocean,2
Rhode Island,14,South Kingstown,Atlantic Ocean,ocean,2
Rhode Island,15,Portsmouth,Narragansett Bay,bay,2
Rhode Island,16,Middletown,Atlantic Ocean,ocean,2
Rhode Island,17,Barrington,Narragansett Bay,bay,3
Rhode Island,18,Warwick,Narragansett Bay,bay,3
Rhode Island,19,Cranston,Pawtuxet River,river,3
Rhode Island,20,East Providence,Providence River,river,3
Rhode Island,21,Pawtucket,Blackstone River,river,3
Rhode Island,22,Woonsocket,Blackstone River,river,3
Rhode Island,23,Lincoln,Blackstone River,river,3
Rhode Island,24,Burrillville,Pascoag Reservoir,reservoir,3
Rhode Island,25,Richmond,Wood River,river,3
Connecticut,1,Mystic,Mystic River,river,1
Connecticut,2,Essex,Connecticut River,river,1
Connecticut,3,Westport,Long Island Sound,sound,1
Connecticut,4,Greenwich,Long Island Sound,sound,1
Connecticut,5,Stonington,Long Island Sound,sound,1
Connecticut,6,Old Saybrook,Long Island Sound,sound,1
Connecticut,7,Madison,Long Island Sound,sound,2
Connecticut,8,Guilford,Long Island Sound,sound,2
Connecticut,9,Chester,Connecticut River,river,2
Connecticut,10,East Haddam,Connecticut River,river,2
Connecticut,11,Old Lyme,Connecticut River,river,2
Connecticut,12,East Lyme,Long Island Sound,sound,2
Connecticut,13,New London,Thames River,river,2
Connecticut,14,Groton,Thames River,river,2
Connecticut,15,Clinton,Long Island Sound,sound,2
Connecticut,16,Westbrook,Long Island Sound,sound,2
Connecticut,17,Branford,Long Island Sound,sound,2
Connecticut,18,Milford,Long Island Sound,sound,2
Connecticut,19,Fairfield,Long Island Sound,sound,2
Connecticut,20,Norwalk,Long Island Sound,sound,2
Connecticut,21,Stamford,Long Island Sound,sound,2
Connecticut,22,Washington,Lake Waramaug,lake,2
Connecticut,23,Litchfield,Bantam Lake,lake,2
Connecticut,24,Kent,Housatonic River,river,2
Connecticut,25,Putnam,Quinebaug River,river,3
New York,1,Lake Placid,Mirror Lake,lake,1
New York,2,Lake George,Lake George,lake,1
New York,3,Montauk,Atlantic Ocean,ocean,1
